,id,degree,eigenvector_centrality
0,Junge Grüne,0.1875,0.18449605502114788
1,Mitte,0.625,0.35883638495306547
2,SVP,1.0,0.3885152869158229
3,Grüne,0.4375,0.26154513371231186
4,FDP,0.75,0.35195841684091295
5,JF,0.4375,0.33445734600198274
6,GLP,0.5625,0.3181632706499842
7,SP,0.375,0.24204669302076873
8,JUSO,0.75,0.3515861683587551
9,Junge GLP,0.125,0.14347258245535366
10,JSVP,0.1875,0.19433041678925372
11,Junge EVP,0.0,0.016923053933343556
12,EVP,0.25,0.12482291206938911
13,Junge Mitte,0.1875,0.15642276620664605
