source_platform,source_platform_url,data.id,data.desc,data.createTime,data.stats.collectCount,data.stats.commentCount,data.stats.diggCount,data.stats.playCount,data.stats.shareCount,data.author.nickname,data.author.id,data.duetDisplay,data.duetEnabled,data.author.uniqueId,video_url,sentiment_rulebased,voting.topic
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7559179042398981379,Die Herbstsession 2025 ist vorbei. Drei Geschäfte standen für uns besonders im Zentrum: 1️⃣ Finanzierung 13. AHV-Rente: Höhere Lohnbeiträge verhindert – ein Erfolg für die junge Generation. 2️⃣ Nein zur extrem ideologischen Kündigungsinitiative – Isolation schadet unserem Wohlstand. 3️⃣ Veraltetes Arbeitsgesetz: Mehr Flexibilität und Eigenverantwortung im Arbeitsalltag.,2025-10-09 11:15:27,1,0,18,1822,0,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7559179042398981379,0.05,0
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7553355554958134550,Stimme jetzt noch bis am 28. September JA zur Abschaffung des unfairen Eigenmietwerts 🗳️,2025-09-23 18:37:19,1,3,18,855,1,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7553355554958134550,-0.94,2
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7552994463400906006,"Kündigungsinitiative kommt «Trump-Mauer» gleich: Wir Jungfreisinnige warnen!   Mit einer Aktion in der Berner Innenstadt machen wir Jungfreisinnige am Tag der Nationalratsdebatte zur Kündigungsinitiative deutlich: Die extreme SVP-Initiative atmet den Geist der unberechenbaren und protektionistischen Trump-Politik. In Zeiten, in denen die regelbasierte Weltordnung aus den Fugen gerät und Handelskriege geführt werden, würde die Initiative die Schweiz isolieren und unseren Wohlstand gefährden. Fakt ist: 👉🏻 ⁠Ohne Fachkräftezuwanderung droht der Schweiz der Wohlstandsabsturz 👉🏻 Mit der Kündigungsinitiative wird die Schweiz zum Hauptziel für Asylmigration Die von der SVP geforderte Kündigungsinitiative stellt eine ernsthafte Bedrohung für die Schweiz dar. Deshalb treten wir Jungfreisinnige konsequent dagegen an.",2025-09-22 19:16:05,0,0,28,983,4,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7552994463400906006,-0.88,0
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7552828307742543126,Wir haben die Verwaltungsbremse-Initiative lanciert! Alle Infos dazu findest du in unserer Bio!,2025-09-22 08:31:25,1,2,49,1026,1,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7552828307742543126,0.0,0
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7550004315088342294,"Ein Einkommen versteuern, das es gar nicht gibt? Das ist heute Realität mit dem Eigenmietwert 🤯 Am 28. September haben wir endlich die Chance, diese unnötige und unfaire Steuer abzuschaffen. Schon abgestimmt?🗳️ ",2025-09-14 17:52:49,1,4,46,606,1,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7550004315088342294,-1.0,2
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7548529523311054102,Damit der Traum vom Eigenheim kein Traum bleibt – stimme am 28. September JA zur Abschaffung des Eigenmietwerts 🏡,2025-09-10 18:29:51,0,3,30,957,0,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7548529523311054102,-0.06,2
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7547282441841478934,"Der Eigenmietwert besteuert ein Einkommen, das es gar nicht gibt. Wer in den eigenen vier Wänden wohnt, zahlt, als würde er Miete kassieren. Diese Steuer ist überholt und ungerecht – sie gehört abgeschafft. 🏡🚫",2025-09-07 09:50:33,0,1,17,890,0,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7547282441841478934,-0.79,2
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7545579866079546646,Kein Rennen mehr gegen die Öffnungszeiten!  Die E-ID bringt die Verwaltung zu dir – 24/7. 📲✨,2025-09-02 19:43:40,1,1,18,856,0,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7545579866079546646,0.0,1
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7543592963062959382,"Après les émeutes à Lausanne, les Jeunes Socialistes veulent abolir la police et soutiennent les antifas. 🚨 Nous disons non aux violences et aux slogans extrêmes : Lausanne a besoin de sécurité, de liberté et d’ordre, pas de chaos. ✌️",2025-08-28 11:13:30,14,37,131,4937,11,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7543592963062959382,-0.35,0
tiktok.com,https://www.tiktok.com/@jungfreisinnigech,7542097849052335382,"Wohnen ist ein Grundbedürfnis – doch restriktive Raumplanung, übertriebene Bauvorschriften und der Eigenmietwert machen es für viele unbezahlbar. Am 28. September haben wir endlich die Chance, den unfairen und unsinnigen Eigenmietwert abzuschaffen. Stimme auch du JA!🏠💡",2025-08-24 10:31:42,1,0,26,990,1,Jungfreisinnige Schweiz,7408455038181655585,0,True,jungfreisinnigech,https://www.tiktok.com/@jungfreisinnigech/video/7542097849052335382,-1.0,2
