source_platform,source_platform_url,data.id,data.desc,data.createTime,data.stats.collectCount,data.stats.commentCount,data.stats.diggCount,data.stats.playCount,data.stats.shareCount,data.author.nickname,data.author.id,data.duetDisplay,data.duetEnabled,data.author.uniqueId,video_url,sentiment_rulebased,voting.topic,engagement_score
tiktok.com,https://www.tiktok.com/@juso_schweiz,7557391049988197635,"MEHRHEIT DER SCHWEIZER*INNEN WILL SUPERREICHE STOPPEN 74% der Bevölkerung sehen Milliardäre als Gefahr für unsere Gesellschaft. 60% haben Angst vor der Klimakrise und dass demokratische Prozesse ausgehöhlt werden. Das zeigt eine neue Umfrage von SRF und gfs.Bern mit rund 55'000 Teilnehmenden. Superreiche zerstören mit ihren Investitionen das Klima und kaufen sich mit den Milliarden daraus politische Macht und Einfluss. Wenn wir unsere Zukunft sichern wollen, müssen wir die Superreichen stopppen. 67% der Befragten wollen grosse Vermögen stärker besteuern. Genau dort setzt die Initiative für eine Zukunft an und liefert damit die richtige Antwort auf die grössten Krisen dieser Zeit. Darum: Am 30. November JA zur Initiative für eine Zukunft!",2025-10-04 15:37:06,5,4,94,1171,1,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7557391049988197635,-1.0,0,-3.0572651242596476
tiktok.com,https://www.tiktok.com/@juso_schweiz,7553770654672162070,"Sie erben Milliarden, und wir? Wir erben die von ihnen verursachten Krisen. Die Bürgerlichen ballern gerade Millionen in eine Angstkampagne gegen die Initiative für eine Zukunft. Und wer profitiert davon? Die bestgeschützteste Minderheit der Schweiz: Die Superreichen. Aber wir sind viele. Mit unserem Crowdfunding legen wir den ersten Stein für die heisseste Phase dieses Abstimmungskampfs. Mit diesem Geld kämpfen wir für nichts weniger als die sozial- und klimagerechte, demokratisierte Zukunft.  Flyer, Plakate, Aktionen, all das kostet. Für eine schlagkräftige Kampagne, brauchen wir das Geld jetzt und nicht erst am 30. November. Das Crowdfunding läuft nur noch 5 Tage! Nur bis am 29. September kannst du noch Teil davon sein, spende bitte jetzt!  Gemeinsam gegen ihre Millarden, für eine lebenswerte Zukunft. Die Uhr tickt!",2025-09-24 21:28:09,5,27,95,1961,2,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7553770654672162070,0.11,0,-2.2066199439344203
tiktok.com,https://www.tiktok.com/@juso_schweiz,7552202232297491734,"Jetzt fürs Crowdfunding für eine Zukunft spenden. Sie erben Milliarden, wir die Krisen. Für die klimagerechte Zukunft (und für Silas)!",2025-09-20 16:01:50,1,1,64,1088,4,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7552202232297491734,-0.35,0,-3.1083064603193677
tiktok.com,https://www.tiktok.com/@juso_schweiz,7551049034052472086,SHIRTDROP! 👕🔥 TAX THE RICH! Link in Bio ✨,2025-09-17 13:26:52,3,2,51,574,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7551049034052472086,0.0,0,-3.5442258704882255
tiktok.com,https://www.tiktok.com/@juso_schweiz,7550971969156435222,"Merci für die bisherige Unterstützung ❤️ Das Crowdfunding braucht jetzt nur noch gut 40‘000 Franken bis Ende September (Neeeeiiin, niemand hat hier Panik…) Falls du paar Fränkli übrig hast, steck sie doch in unsere Kampagne für eine klimagerechte Zukunft ✨ 👉 Link ist in der Bio",2025-09-17 08:27:51,0,1,22,476,1,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7550971969156435222,0.17,0,-3.6777998587947107
tiktok.com,https://www.tiktok.com/@juso_schweiz,7549922414176619798,"Knapp 13‘000 Franken sind bereits fürs Crowdfunding für eine Zukunft zusammengekommen. 🎉 👉Jetzt müssen wir aber nochmal vorwärtsmachen. Was hilft:,💰 Spenden (Link in Bio),📢 Video teilen,🗣️ Weitererzählen Danke❤️ #initiativefüreinezukunft #crowdfunding #fundraisersilas",2025-09-14 12:34:59,0,0,26,479,1,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7549922414176619798,0.18,0,-3.6817101188940953
tiktok.com,https://www.tiktok.com/@juso_schweiz,7537998743933701398,"NEHMT DAS GELD DEN REICHSTEN, GEBT ES DEM KLIMA Wir haben unsere Abstimmungskampagne für die Initiative für eine Zukunft lanciert. Zeit, das wir die Suprreichen stoppen und für ihre Kliaverrechen zur Verantwortung ziehen. Am 30. November JA zur Initiative für eine Zukunft!",2025-08-13 09:25:05,5,19,156,2107,16,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7537998743933701398,0.13,0,-1.1080006481851914
tiktok.com,https://www.tiktok.com/@juso_schweiz,7537314346565766422,Help Silas: Jetzt Crowdfunding unterstützen. (Link in Bio❤️) #juso #schweiz #fyp #politics #climate #crowdfunding #politik #taxtherich ,2025-08-11 13:09:16,1,2,66,1273,3,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7537314346565766422,0.0,0,-3.0959063915238763
tiktok.com,https://www.tiktok.com/@juso_schweiz,7525954109594406166,"In Eschenbach sollte eine junge Lehrerin ihre Stelle antreten: fachlich geeignet, engagiert, bereit Weihnachten zu feiern. Aber sie trägt Kopftuch. Was passiert? Eltern beschweren sich, die Schule knickt ein. Jetzt will die SVP Kanton St. Gallen diesen Einzelfall ausnutzen und ein gesetzliches Kopftuchverbot für Lehrerinnen einführen. Und sie nennen das ‚Neutralität‘. Aber wir müssen ehrlich sein: Das ist keine Neutralität. Das ist Diskriminierung mit Ansage. Das ist antimuslimischer Rassismus. Kein Platz für Kopftuchverbote. Kein Platz für Diskriminierung. Punkt",2025-07-11 22:25:46,102,502,1593,31100,114,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7525954109594406166,0.76,0,32.362427880697375
tiktok.com,https://www.tiktok.com/@juso_schweiz,7525209959538101526,"NIEMAND WILL DEINE AUTOBAHNEN RÖSTI Im letzten Herbst hat die Schweizer Stimmbevölkerung einen Autobahnausbau abgelehnt. Auf einer gestrigen Bergwanderung mit Medienschaffenden hat jetzt Albert aber kommuniziert, dass er die abgelehnten Projekte nochmals prüfen lassen will. Es gibt nichts mehr zu prüfen. Sie wurden abgelehnt. Auch ein Bundesrat muss sich der Demokratie beugen.",2025-07-09 22:18:03,0,0,24,866,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7525209959538101526,-1.0,0,-3.6679238616216723
