party_file,status,n,beta_sentiment,se_hc3,t_hc3,p_hc3,r2,intercept
10_JF__cleaned.csv,ok,26.0,0.3192129063131657,2.0790183578939536,0.15354020569425297,0.8779722866178855,0.0015727999634197465,0.0855736137308748
11_Junge_Mitte__cleaned.csv,ok,15.0,0.09378864206860688,2.9877904696539996,0.03139063566243588,0.9749580091314795,4.0730927512777626e-05,-0.01882025417510058
12_Junge_Gruene__cleaned.csv,ok,14.0,-1.006236162440672,1.7552939915213277,-0.5732579085333499,0.5664700804281086,0.00844611497910952,-0.03449952556939412
13_Junge_GLP__cleaned.csv,too_few_rows,,,,,,,
1_SVP__cleaned.csv,ok,102.0,1.459870351400229,1.752013478886353,0.8332529224193974,0.40470210102938853,0.0024851674964891934,0.3387757962514051
2_SP__cleaned.csv,ok,62.0,-1.8419690967937077,3.2486722663043843,-0.5669913570226306,0.5707200537238639,0.004664564718319442,-0.028223720031516353
3_FDP__cleaned.csv,ok,32.0,-1.148585020528653,1.5692528682448013,-0.7319311270804543,0.4642106062337251,0.02185241628737644,-0.06604363868039753
5_Gruene__cleaned.csv,ok,55.0,-0.8587321787373823,1.320725368501808,-0.6501973833602536,0.5155647310519591,0.0055711156267367334,-0.16159778272603426
7_EVP__cleaned.csv,ok,32.0,-0.545564412161555,1.9513134826130356,-0.2795882963054101,0.7797933873416236,0.000602798629187884,-0.05114666364014575
8_JSVP__cleaned.csv,ok,17.0,-0.633911373346489,2.091080330606772,-0.3031501774790957,0.7617754160458708,0.0059575069776508505,-0.13312138840276225
9_JUSO__cleaned.csv,ok,25.0,8.023103632690972,6.515145075821285,1.231454332838413,0.21815298662139482,0.21974432504040886,1.0365849893436723
ALL_PARTIES_POOLED,ok,380.0,0.390163332631837,0.6604361863002048,0.5907661341477224,0.5546771290686617,0.00044247063327662595,0.05241536350225043
