source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic,engagement_score
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3740420872478694409_3254768218,"Die SRG hat ihre Image-Kampagnen massiv ausgebaut, wie der Bundesrat bestätigt. Das ist kaum anders als eine Vorkampagne zur Abstimmung zu interpretieren. Zum Schutz der freien Willensbildung der Stimmbevölkerung, angesichts des fraglichen Nutzens von Imagekampagnen und da die Gebührenzahler direkt sowie indirekt dafür aufkommen müssen, fordern wir Jungfreisinnige einen Stopp aller SRG-Imagekampagnen! ❌ Ferner weiss die SRG bis heute nicht, wie viel sie diese Imagekampagnen kosten. Das spricht Bände. Die Bevölkerung verdient, dass genau hingeschaut wird, wenn es um ihr Geld geht. Deshalb fordern wir gemeinsam mit FDP-Nationalrat @dobler_marcel und 23 Mitunterzeichnenden aus GLP bis SVP mittels einer parlamentarischen Motion, dass die SRG der finanziellen Oberaufsicht der EFK unterstellt wird. Verschwendung und Intransparenz dürfen keinen Platz haben.",2025-10-10 16:15:37+00:00,8,43,2,0.02,0,-1.3665013877194623
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3739540377121347999_3254768218,Die Herbstsession 2025 ist vorbei. Drei Geschäfte standen für uns besonders im Zentrum: 1️⃣ Finanzierung 13. AHV-Rente: Höhere Lohnbeiträge verhindert – ein Erfolg für die junge Generation. 2️⃣ Nein zur extrem ideologischen Kündigungsinitiative – Isolation schadet unserem Wohlstand. 3️⃣ Veraltetes Arbeitsgesetz: Mehr Flexibilität und Eigenverantwortung im Arbeitsalltag.,2025-10-09 11:06:39+00:00,2,67,0,0.05,0,-1.5100414756603362
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3738224043389390451_3254768218,"Über 100 Jungfreisinnige aus der ganzen Schweiz versammelten sich dieses Wochenende im Kernkraftwerk Gösgen zur Delegiertenversammlung der Jungfreisinnigen Schweiz. Im Zentrum standen energiepolitische, sicherheitspolitische und finanzpolitische Fragen: ✅ JA zur Individualbesteuerung ❌ NEIN zur Bargeldinitiative, JA zum Gegenvorschlag ❌ NEIN zur Klimafonds-Initiative Wir danken @susannevincenzstauffacher und @benjaminmuehlemann für den offenen Austausch im FDP-Präsidiums-Hearing. Ein besonderer Dank geht an Petros Papadopoulos und Prof. Dr. Annalisa Manera für die spannenden Einblicke in Energie, Forschung und nukleare Sicherheit. 🔬 Ein grosses Merci auch an alle die dabei waren und natürlich ans KKW Gösgen für die spannende Führung und die Gastfreundschaft. 💙",2025-10-07 16:38:38+00:00,8,95,0,1.0,0,-1.3052826893691334
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3735320978617297484_3254768218,Rückblick auf unseren ausserordentlichen Kongress 🥳 Ein grosser Dank geht an unsere Gäste für die spannenden Referate @thierryburkart & @christophschaltegger . Herzlichen Glückwünsch an @luciosansano zur Wahl in den Vorstand als Verantwortlicher Initiativ- & Referedumsprojekte 🤝 Und das Highlight: Die einstimmige Lancierung unserer Verwaltungsbremse-Initiative 🚀,2025-10-03 15:25:22+00:00,2,78,3,0.73,0,-0.9510290953316494
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3733285959057052686_3254768218,Diesen Samstag findet unsere Delegiertenversammlung statt.  👉🏻 Melde dich jetzt an (Link in der Bio),2025-09-30 19:59:49+00:00,8,70,1,0.0,0,-1.3285792247481836
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3732325759542146879_3254768218,Zwei Erfolge an der Urne! Gestern wurden beide nationalen Vorlagen angenommen: 🏡 Abschaffung des Eigenmietwerts 💻 Einführung der E-ID Damit wird der Weg für ein zeitgemässes Steuer- und Digitalwesen geebnet.,2025-09-29 12:12:05+00:00,1,71,1,0.29,3,-1.321266410952069
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3730903226443907536_3254768218,Jetzt Ja stimmen – für eine sichere E-ID!,2025-09-27 13:06:53+00:00,2,93,2,0.0,1,-1.000860697913743
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3729948602878702627_3254768218,"Datenschutz auf Schweizer Art – sicher, stark, souverän 💪🇨🇭",2025-09-26 05:30:29+00:00,2,96,5,0.45,0,-0.5003508279539712
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3729340840176045808_3254768218,"Hey, @jglpschweiz! Sicher, dass ihr den Kantonen nicht auch die Möglichkeit zur Stärkung der Kompetenz in der Erstsprache lassen wollt?😌",2025-09-25 09:21:35+00:00,8,131,17,0.38,0,1.6698833691957464
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3728162602586239786_3254768218,Stimme jetzt noch bis am 28. September JA zur Abschaffung des unfairen Eigenmietwerts 🗳️,2025-09-23 18:24:26+00:00,2,37,4,-0.94,2,-1.0913306514485297
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3728104192272525190_3254768218,Die von der SVP geforderte Kündigungsinitiative stellt eine ernsthafte Bedrohung für die Schweiz dar. Deshalb treten wir Jungfreisinnige konsequent dagegen an 👆🏻,2025-09-23 16:24:34+00:00,8,82,3,0.0,0,-0.9217778401471919
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3727463914780011870_3254768218,"Kündigungsinitiative kommt «Trump-Mauer» gleich: Wir Jungfreisinnige warnen!   Mit einer Aktion in der Berner Innenstadt machen wir Jungfreisinnige am Tag der Nationalratsdebatte zur Kündigungsinitiative deutlich: Die extreme SVP-Initiative atmet den Geist der unberechenbaren und protektionistischen Trump-Politik. In Zeiten, in denen die regelbasierte Weltordnung aus den Fugen gerät und Handelskriege geführt werden, würde die Initiative die Schweiz isolieren und unseren Wohlstand gefährden. Fakt ist: 👉🏻 ⁠Ohne Fachkräftezuwanderung droht der Schweiz der Wohlstandsabsturz 👉🏻 Mit der Kündigungsinitiative wird die Schweiz zum Hauptziel für Asylmigration Die von der SVP geforderte Kündigungsinitiative stellt eine ernsthafte Bedrohung für die Schweiz dar. Deshalb treten wir Jungfreisinnige konsequent dagegen an.",2025-09-22 19:13:32+00:00,2,213,17,-0.88,0,2.2695341004771254
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3727059754179951883_3254768218,Wir haben die Verwaltungsbremse-Initiative lanciert! Alle Infos dazu findest du in unserer Bio! 🚀,2025-09-22 05:50:15+00:00,2,195,5,0.0,0,0.22361773786135286
