source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic
instagram.com,https://www.instagram.com/diejungemitte_ch/,3740442021367163040_1383293655,"Hüt isch #WorldMentalHealthDay und e super Glegeheit zum wiedermal bi dine Kollege/Kolleginne nahz‘fröge wies ihne gaat.❣️ Hüt isch aber au e super Glegeheit zum dene Organisatione Merci z‘sege wo unglaublich vill leischted für di psychisch Gsundheit vo eusere Generation. Etz will de Bund abr genau dete spare, das müemer verhindere, hilf mit! 🤝 Und zwar via: https://sparstoppjugend.ch  #MentalHealth #Sachpolitik #Prävention",2025-10-10 17:14:21+00:00,2,3,1,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3740355058002100044_5441670489,"Tanzen verbindet, genau wie die @initiative_servicecitoyen2025 ! Überparteilich setzen wir uns für ein JA für den Bürger:innendienst für alle ein! 💕 🇨🇭 für Einheit in Vielfalt 💪 für eine krisenfeste Schweiz",2025-10-10 14:09:29+00:00,2,137,8,0.01,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3739751130495466989_2258948227,"Heute hat die Junge Mitte mit dem überparteilichen Komitee das Referendum gegen die Einführung der Individualbesteuerung offiziell eingereicht. Um auf die Folgen der Individualbesteuerung aufmerksam zu machen, überreichte die Junge Mitte der FDP und den Jungfreisinnigen ein verfrühtes Weihnachtsgeschenk: einen Berg aus Paketen, der sinnbildlich für 1.7 Millionen zusätzliche Steuererklärungen pro Jahr steht. 🎁 #chvote #aufbruchmitte #individualbesteuerung  #referendum",2025-10-09 18:08:36+00:00,2,187,16,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3739588431941731638_2258948227,"Heute hat die Junge Mitte mit dem überparteilichen Komitee das Referendum gegen die Einführung der Individualbesteuerung offiziell eingereicht. Um auf die Folgen der Individualbesteuerung aufmerksam zu machen, überreichte die Junge Mitte der FDP und den Jungfreisinnigen ein verfrühtes Weihnachtsgeschenk: einen Berg aus Paketen, der sinnbildlich für 1.7 Millionen zusätzliche Steuererklärungen pro Jahr steht.🎁 #DieJungeMitte #chvote #individualbesteuerung  #aufbruchmitte",2025-10-09 12:41:42+00:00,8,151,4,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3731780791316282121_1383293655,"Heute wurde die E-ID knapp mit 50.4% angenommen. 🗳️😅 Für mich ist dieses knappe Resultat ein weiteres Beispiel, wieso unsere Generation dringend mehr an die Urne muss. 🧐 Im November stehen bereits die nächsten Vorlagen an. Motiviert euer Umfeld, an unserer Demokratie teilzunehmen. 📃✍️ Es geht um nichts Geringeres als unsere #Zukunft!  #Abst25 #EID #Digitalisierung",2025-09-28 18:16:18+00:00,2,155,1,0.73,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3729557874537158404_2258948227,✅️ Jetzt JA zur E-ID stimmen 📬 #eid #ja #chvote #aufbruchmitte,2025-09-25 16:32:47+00:00,1,77,1,0.0,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3728846889794982389_2258948227,"🇨🇭 Mittlerweile sind es mit Nidwalden sogar zehn Kantone. 🔥 🖊 Unterschreibe das Referendum zur Individualbesteuerung trotzdem (Link in Bio) – als starkes Zeichen, und sende den Unterschriftenbogen sofort ein📬 #uri #altdorf #landrat #diejungemitte #aufbruchmitte #nein #steuerschwindel",2025-09-24 17:16:05+00:00,2,173,8,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3727803652724505505_2258948227,✅️ Jetzt brieflich abstimmen 📬 ✅️ JA für Fortschritt 📬 ✅️ JA zur E-ID 📬 #chvote #eid #ja #aufbruchmitte #fortschritt,2025-09-23 06:27:27+00:00,8,68,0,0.02,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3727313106901959704_2258948227,✅️Jetzt JA zur E-ID stimmen📬 ❔️Fragen zur Vorlage? Slide in die DM's ❗️ #eid #chvote #aufbruchmitte #Digital #fortschritt,2025-09-22 14:19:01+00:00,2,156,0,0.01,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3726698942433129001_2258948227,✅️Stimme bis nächsten Sonntag JA zur E-ID📬 #chvote #e-id #ja #diejungemitte #aufbruchmitte,2025-09-21 17:54:23+00:00,2,114,2,0.23,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3725171331567594298_2258948227,Jetzt Referendum zur Individualbesteuerung unterschreiben (Link in Bio)🖊 ❌️ Nein zum Steuerschwindel #grosserrat #wallis #aufbruchmitte #chvote,2025-09-19 15:23:10+00:00,2,59,1,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3723838091418177508_2258948227,Bist du interessiert am Austausch mit internationalen Kolleginnen und Kollegen? 🌍 Knüpfst du gerne neue Kontakte und möchtest dich vernetzen? 🤝🗣️ Dann werde Teil der Internationalen Kommission der Jungen Mitte – und gestalte mit uns die Zusammenarbeit über Grenzen hinweg! ✨ 👉 Mehr Informationen findest du hier: https://diejungemitte.ch/über-uns #diejungemitte #zusammenarbeit #internationale #kommission,2025-09-17 19:08:35+00:00,8,72,1,0.54,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3723001420036457471_2258948227,"🥳 Herzliche Gratulation an @yvonne.buergin zur Wahl als neue Fraktionspräsidentin der Mitte-EVP-Fraktion Schweiz! 🙌 Wir wünschen dir viel Erfolg, Energie und Freude in dieser wichtigen Aufgabe und freuen uns auf die gemeinsame Zusammenarbeit. 🧡 #DieMitte #DieJungeMitte #TeamMitte #aufbruchmitte",2025-09-16 16:23:37+00:00,1,115,0,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3722793242954870343_2258948227,"Mit der staatlichen E-ID behalten wir die Kontrolle über unsere Daten - sicher, modern und schweizerisch. 💡🪪 👉 Mehr unter: www.schweizer-eid-ja.ch #diejungemitte #schweiz #abst25  #chvote #ja #eid",2025-09-16 08:32:40+00:00,8,99,1,0.6,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3721459714405188939_2258948227,"Wir haben einen neuen Präsidenten! 🚀 Benedikt Schmid wurde an der Delegiertenversammlung in Biel mit 112 Stimmen zum Präsidenten gewählt. Herzliche Gratulation! 🧡 In seiner Antrittsrede machte er deutlich: «Im Februar haben in Deutschland über 50 % der U24-Jährigen radikale Parteien gewählt. Mein Ziel ist es, dass die Schweizer Jugend nicht dem Populismus verfällt.» Zudem unterstrich er: «Wir wollen zeigen, dass Politik nicht nur Streit bedeutet, sondern konkrete Antworten für die Herausforderungen unserer Generation liefern kann.» Wir bedanken uns beim abgetretenen Präsidenten Marc Rudisuli für seine riesige Arbeit, die er in den letzten vier Jahren geleistet hat. 🫶🏼 Er sieht heute eine Partei, die sichtbarer, eigenständiger und wirkungsvoller denn je politisiert. Er sagt: «Die Junge Mitte hat ihr Profil geschärft und ist heute die drittbeliebteste Partei der Gen Z. Immer mehr junge Menschen setzen auf #Zusammenhalt und tragfähige Lösungen statt auf Spaltung und Ideologien. Es war mir eine Ehre, Die Junge Mitte zu führen. Mein Dank gilt allen Mitgliedern, die sich täglich für eine starke Mitte in der Schweizer Politik einsetzen.»",2025-09-14 12:23:11+00:00,1,240,7,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3719873527106302891_2258948227,"Morgen wählt Die Junge Mitte Schweiz an ihrer Delegiertenversammlung in Biel einen neuen nationalen Vorstand. Dabei verabschieden wir uns von prägenden Persönlichkeiten: Präsident Marc Rüdisüli, Vizepräsident Maxime Moix, unser internationaler Sekretär Michele Roncoroni, unsere Generalsekretärin Rahel sowie die Vorstandsmitglieder An-Charlotte Treskatsch und Isaure Juilliard treten zurück. Sie haben die Jungpartei über Jahre hinweg entscheidend weiterentwickelt und mit ihrem grossen Engagement viel erreicht. Wir danken ihnen herzlich für ihren enormen Einsatz - solch langfristiges ehrenamtliches Engagement ist alles andere als selbstverständlich. 🧡 Wir sind gespannt, wer morgen in ihre Fussstapfen treten und sich künftig im Vorstand der Jungen Mitte Schweiz für eine verantwortungsvolle Politik und die Interessen junger Menschen starkmachen wird. Demain, lors de leur assemblée des délégués à Bienne, les Jeunes du Centre éliront un nouveau comité national. À cette occasion, nous ferons nos adieux à des personnalités marquantes : le président Marc Rüdisüli, le vice-président Maxime Moix, notre secrétaire international Michele Roncoroni, notre secrétaire générale Rahel ainsi que les membres du comité An-Charlotte Treskatsch et Isaure Juilliard qui ne se représentent pas. Ils ont contribué de manière décisive au développement de notre jeunesse de parti au fil des ans et ont accompli beaucoup de choses grâce à leur grand engagement. Nous les remercions chaleureusement pour leur énorme dévouement – un engagement bénévole aussi durable est tout sauf évident. 🧡 Nous sommes impatients de découvrir qui suivra leurs traces demain et s'engagera à l'avenir au sein du comité directeur des Jeunes du Centre pour une politique responsable et les intérêts des jeunes.",2025-09-12 07:54:55+00:00,8,250,13,1.0,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3714792349093377940_2258948227,"Die FDP lanciert eine Initiative für weniger Personal beim Staat. Gleichzeitig will sie die Individualbesteuerung einführen. Die Folgen wären kompletter Umbau des Steuersystems und 1.7 Millionen zusätzliche Steuererklärungen. Und dafür bräuchte es hunderte neue Steuerbeamte in den Kantonen. 🤯🤷🏼‍♂️ Wer wirklich zusätzliches Personal beim Staat verhindern will, unterschreibt noch heute das Referendum gegen die Individualbesteuerung. Danke! 🧡",2025-09-05 07:36:19+00:00,1,80,3,0.2,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3714288521721979758_1456289014,‼️Steuerschwindel‼️ Jetzt Referendum unterschreiben ✍️✍️✍️,2025-09-04 14:57:09+00:00,2,157,10,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3714038750079936257_2258948227,"👉 Die Jugend darf nicht vergessen gehen. Es braucht jetzt Prävention, Hilfe & Fachpersonal - für eine psychisch gesunde nächste Generation.💪🧠 #gesundejugendjetzt #diejungemitte",2025-09-04 06:39:03+00:00,8,64,0,0.39,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3712063721649741023_2258948227,"„Mer werded sie bodige!“ 🤼‍♂️🗳️ Brauchen hierfür aber deine Unterschrift! Die letzten Wochen der Unterschriftensammlung laufen, bald sind die 100 Tage vorbei. Den Link zum Unterschriftenbogen findest du in unserer Bio.  #IndividualBesteuerung #DieJungeMitte #Heiratsstrafe #ESAF2025",2025-09-01 13:15:02+00:00,8,90,1,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3709950790266411679_62092887470,"Am 28. September stimmen wir über die E-ID ab. Sie ist sicher, praktisch und vereinfacht unseren Alltag. 🇨🇭💡 Ich sage mit Überzeugung JA zur E-ID – für eine moderne und digitale Schweiz.  Stimm auch Du JA zur E-ID am 28. September. 🗳️🥂 #eid #ja #digitaleschweiz #abstimmung #september",2025-08-29 15:21:14+00:00,2,93,0,0.72,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3709708694402650065_2258948227,"23 Femizide allein in diesem Jahr - ein erschütternder Rekord, der zeigt: Gewalt gegen Frauen ist keine Randerscheinung, sondern bittere Realität.🚨 Wir dürfen nicht wegschauen. Jede Frau hat das Recht auf Sicherheit. Es braucht jetzt Prävention, Schutzplätze und konsequentes Handeln von Politik und Gesellschaft.  #stopfemizid #diejungemitte #schweiz",2025-08-29 07:16:00+00:00,8,95,0,-0.91,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3708533357262951354_2258948227,Trotz #Heiratsstrafe glücklich verheiratet 💍❤️ #DieJungeMitte ♾️ #SachPolitik,2025-08-27 16:20:49+00:00,8,153,2,0.12,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3706218973442344805_2258948227,"(FR ci-dessous) Heute, anlässlich des Independence Day der Ukraine 🇺🇦, sind unsere Gedanken bei den jungen Menschen im ganzen Land: Letzte Woche war Die Junge Mitte Schweiz gemeinsam mit unserem internationalen Sekretär @michele_roncoroni am Political Camp 2025 in Lwiw, Ukraine vertreten und hat die Bande der Solidarität und Freundschaft gestärkt. 🇺🇦🇨🇭 Die wichtigsten Punkte unserer Präsenz: 🕊️ Unterstützung für die Ukraine: Nähe und Solidarität mit dem ukrainischen Volk. 💪🏼 Fokus auf die Jugend: Junge Menschen dürfen in Krisen-, Not- und Kriegssituationen nicht vergessen werden. 🎤 Den neuen Generationen eine Stimme geben: Sie brauchen Raum, um ihre Bedürfnisse und Ideen zu äussern. 🌍 Jugend als Gestalter von morgen: sie sind diejenigen, die eine andere Zukunft aufbauen können. 💙💛 Die Jugend im Mittelpunkt, für eine Zukunft voller Hoffnung, Frieden und Freiheit. Die Ukrainerinnen und Ukrainer kämpfen mutig und entschlossen für die Souveränität ihres Landes. Dabei verteidigen sie auch die europäische und internationale Friedensordnung. Thank you very much @solidarna_molod, the organiser of the event! - Aujourd'hui, à l'occasion du jour de l'indépendance en Ukraine 🇺🇦, nos pensées vont aux jeunes de tout le pays : pas plus tard que la semaine dernière, les #JeunesDuCentre Suisse étaient présents avec leur secrétaire international @michele_roncoroni au Political Camp 2025 à Lviv en Ukraine, où ils ont renforcé les liens de solidarité et d'amitié 🇺🇦-🇨🇭. ✨ Les points essentiels de notre présence : 🕊️ Soutien à l'Ukraine : proximité et solidarité avec le peuple ukrainien. 🔥 Focus sur la jeunesse : les jeunes ne doivent pas être oubliés dans les situations de crise, d'urgence ou de guerre. 🎤 Donner une voix aux nouvelles générations : elles ont besoin d'espace pour exprimer leurs besoins et leurs idées. 🌍 Faire des jeunes les artisans de demain : ce sont eux qui peuvent construire un autre avenir. 💙💛 La jeunesse au centre, pour un avenir plein d'espoir, de paix et de liberté. Merci beaucoup à @solidarna_molod, l'organisateur de l'événement ! #slavaukraini",2025-08-24 11:42:33+00:00,8,56,0,0.13,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3702722205044979888_2258948227,"Vom 7. bis 10. August waren wir für unser Sommercamp in Malters im schönen Kanton Luzern.🥾⛰️ Mit über 30 Mitglieder haben wir unsere Themen vertieft, an Ideen gearbeitet und neue Pläne geschmiedet. Zwischen all den Gesprächen und Diskussionen kam das Zwischenmenschliche und das gemütliche Beisammensein natürlich nicht zu kurz. Am Samstag gings dann noch raus aufs Luzerner Land für eine schöne Wanderung. Ein perfekter Abschluss für ein gelungenes Camp!  Wir danken allen Teilnehmenden und freuen uns bereits jetzt auf das nächste Sommercamp!🧡 #diejungemitte #sommercamp #luzern #wanderung #diskussion",2025-08-19 15:55:08+00:00,8,118,0,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3693296845492592444_2258948227,Die nächste Delegiertenversammlung steht bevor!🤩 Sie findet in Biel/Bienne im Kanton Bern statt. Es erwarten euch einige spannende Programmpunkte wie beispielsweise die Parolenfassung zur E-ID oder das Gespräch mit dem neuen Mitte-Präsidenten Philipp Matthias Bregy. Das Highlight werden natürlich die Gesamterneuerungswahlen sein. Über den untenstehenden Link kannst du dich anmelden:  https://diejungemitte.ch/veranstaltungen/2-delegiertenversammlung-2025 Wir freuen uns auf eine spannende Delegiertenversammlung!🚀 #diejungemitte #delegiertenversammlung #bern #biel #wahlen,2025-08-06 15:49:04+00:00,2,46,0,1.0,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3689446981965092090_2258948227,"Alles Gute, liebe Schweiz!🇨🇭 Heute feiern wir, was unser Land stark macht - und wofür wir dankbar sein dürfen. Gleichzeitig stehen grosse Herausforderungen an, die wir mutig, wirksam und ganzheitlich anpacken müssen. Für eine Schweiz, die zusammenhält, Fortschritt wagt und niemanden zurücklässt. #diejungemitte #schweiz #1august #nationalfeiertag",2025-08-01 08:19:38+00:00,8,117,0,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3688275331546611176_2258948227,Unsere Vizepräsidentin Nina Gisler ist gegen den indirekten Gegenvorschlag zur Individualbesteuerungsinitiative und unterstützt das Referendum dazu. Unterschreib auch DU noch heute! 📝🚀 👉 Mehr Infos unter: https://steuer-schwindel-nein.ch #diejungemitte #referendum #individualbesteuerung #steuerschwindel,2025-07-30 17:31:45+00:00,1,50,1,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3684361478156663167_7660366739,Unser Präsident sagt Nein zum Steuerschwindel. Unterschreibe auch du jetzt das Referendum. ✍🏼,2025-07-25 07:55:37+00:00,1,26,0,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3679613128660261460_2258948227,"🇪🇺 Am vergangenen Wochenende fand in Brüssel der YEPP-Kongress statt! 🌟 Herzlichen Glückwunsch an Sophia Kircher, die zur neuen Präsidentin gewählt wurde! 🙏 Danke an Lidia Pereira für 6 Jahre engagierte Präsidentschaft! 👏 Und herzlichen Glückwunsch an Michele, der als Finanzprüfer wiedergewählt wurde. 📜 Der Kongress stimmte ab: - Das aktualisierte politische Programm - Eine Aktualisierung des Verhaltenskodexes - Den Beitritt von fünf neuen Mitgliedern und zwei Beobachtern. 👥 Dank an unsere Ehrengäste : - Maria Luís Albuquerque, Kommissarin für Finanzdienstleistungen. - François-Xavier Bellamy, Mitglied des Europäischen Parlaments & Schatzmeister der EVP - Claudia Plakolm, österreichische Ministerin für Europa, Integration und Familie. 🎙 Zwei inspirierende Panels : 1. Youth Engagement in Policy Making (Jugendliches Engagement in der Politikgestaltung). 2. Sustainability Through Innovation (Nachhaltigkeit durch Innovation). Die Jugend Europas handelt weiterhin für die Zukunft! 🇪🇺✊",2025-07-18 18:41:31+00:00,8,69,0,1.0,0
