source_platform,source_platform_url,data.id,data.caption.text,data.media_type,data.like_count,data.comment_count
instagram.com,https://www.instagram.com/jungegruene_ch/,3740123933765177657_2940664491,"Mitte-Rechts greift den Zivildienst an und möchte den Zugang aus dem Militär bei Gewissens- und Glaubensverunbarkeiten massivst erschweren. 😡😡Aber nicht mit uns! Unterschreibe jetzt das Referendum, werde Mitglied und komm mit uns Unterschriften sammeln. 🌱📝

Am 25.10 von 09:00-12:00 Uhr organisieren wir ein offenes Sammeln (gerade auch für Leute ohne Sammelerfahrung). Schreib uns eine DM oder werde Mitglied für weitere Infos. 🫶🌻

Link zum Unterschriftenbogen und weitere Infos in der Bio 💕",2,144,3
instagram.com,https://www.instagram.com/jungegruene_ch/,3739628005032262227_4671101964,"Es wird immer klarer, dass Ignazio Cassis nicht in der Fähigkeit besitzt, die Schweizer Aussenpolitik effizient und gerecht zu führen. Deshalb fordern wir seinen Rücktritt.

🩸 Komplizenschaft mit Israel beim G3nozid in P4lästina:
- Keine Sanktionen gegen Israel.
- Interessenkonflikte: Cassis war Vizepräsident der Schweizerisch-Israelischen Freundschaftsgruppe im Parlament. Diese Verbindungen hindern ihn an einer fairen und neutralen Politik in dieser Thematik.
- Sein eigenes Departement unterstützt seine Politik zum G3nozid in P4lästina nicht mehr.
- Mit seinen öffentlichen Auftritten beschädigte Cassis das Ansehen der Schweiz.
- Er fordert zwar die Freilassung der israelischen Geiseln, schweigt aber über die von Israel begangenen Verbrechen.
- Und nicht zuletzt hat das EDA sich entschieden, die Schweizer Friedensaktivist*innen nicht zu unterstützen, die versucht haben, einen humanitären Korridor nach G4za zu öffnen, um Tausenden von Menschen lebenswichtige und dringende Hilfe zu leisten.

Cassis hat auch bei der chaotische Verhandlung der Bilateralen III versagt: Seine Ineffizienz und Untätigkeit gefährden nun die Abkommen. Er ist nicht in der Lage, seine Verantwortung wahrzunehmen und die humanitäre Tradition der Schweiz zu vertreten, und schadet damit dem Ansehen und der Glaubwürdigkeit des Landes. Seine katastrophale Aussenpolitik ist gefährlich; wir fordern seinen Rücktritt.",1,513,18
instagram.com,https://www.instagram.com/jungegruene_ch/,3739027607065375774_4671101964,"Heute war unsere erste Pressekonferenz und jetzt geht es los: Wir haben 100 Tage Zeit, um 50’000 Unterschriften gegen die massive Verschärfung des Zivildienstes zu sammeln ✊🏼🔥

🔗 Unterschriftenbogen & alle weiteren Infos via Link in der Bio",8,335,17
instagram.com,https://www.instagram.com/jungegruene_ch/,3735309566109084785_4671101964,"Rip Korallen 🪸☠️

Quelle: Planetary Health Check 2025, Potsdam Institut für Klimafolgenforschung und Planetary Guardians, https://www.planetaryhealthcheck.org/",8,257,3
instagram.com,https://www.instagram.com/jungegruene_ch/,3733933954739396268_4671101964,Richtig viele Leute heute in Bern an der Demo gegen die Verdoppelung der Studigebühren! ✊🏽📢,8,395,3
instagram.com,https://www.instagram.com/jungegruene_ch/,3733213952159699686_4671101964,"Trump hat die Antifa (die es so gar nicht gibt) zur Terrororganisation erklärt. In den Niederlanden wurde letzte Woche ein ähnlicher Antrag angenommen und auch in der Schweiz gab es schon Vorstösse, die Antifa zu verbieten.

Diese Forderungen gefährden  Aktivist*innen und zeigen, wie weit rechts Trump, aber eben auch einige Politiker*innen der SVP, wirklich stehen.",1,474,8
instagram.com,https://www.instagram.com/jungegruene_ch/,3732559475949870459_4671101964,"🔗 Link zur Anmeldung in der Bio

Unsere nächste Mitgliederversammlung:
📍 St. Gallen
🗓️ 11. Oktober
⏰ 13:30

Wir planen die Kampagne für das Referendum gegen den Angriff auf den Zivildienst und noch vieles mehr ✊🏽💚

Wie immer sind MV und Abendessen gratis. Wenn das Zugticket eine Hürde darstellt, können wir es zurückerstatten. Melde dich dafür und bei anderen Fragen gerne unter sekretariat@jungegruene.ch",2,130,4
instagram.com,https://www.instagram.com/jungegruene_ch/,3731792537732703640_4671101964,"Ein Studium muss allen zugänglich sein, unabhängig von den finanziellen Mitteln der Eltern. Deshalb: Alle auf die Strasse gegen die Erhöhung der Studiengebühren! ✊🏼🚩

📍 Bundesplatz, Bern
🗓️ Mittwoch, 1. Oktober
⏰ 17:00",8,141,0
instagram.com,https://www.instagram.com/jungegruene_ch/,3731685967213669771_4671101964,"Bewirb dich bis am 5. Oktober für unsere neue Stelle!

Und schick den Post deinen Kolleg*innen auf Jobsuche 🤝🏼

🔗 alle Infos zur Stelle und Bewerbung via Link in der Bio",8,239,1
instagram.com,https://www.instagram.com/jungegruene_ch/,3730339697382310938_4671101964,"Jetzt ist es offiziell: Wir lancieren das Referendum gegen die massive Schwächung des Zivildienstes! ✊🏼📢

🔗 Trag dich via Link in der Bio ein und unterstütze das Referendum!",2,408,17
