source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic,engagement_score
instagram.com,https://www.instagram.com/jglpschweiz/,3692568258540049731_5441670489,"Seit bald zwei Jahren nimmt das Leiden kein Ende. Das Schicksal der israelischen Geiseln ist noch ungewiss, ihre Familien leiden und in Gaza sterben zunehmend Palästinenser:innen an Hunger. Dieser Krieg vermehrt das Leiden nur. Wir fordern einen Weg hinaus.",2025-08-05 15:41:19+00:00,8,97,19,-1.0,1,7.9663446405656035
instagram.com,https://www.instagram.com/jglpschweiz/,3740355058002100044_5441670489,"Tanzen verbindet, genau wie die @initiative_servicecitoyen2025 ! Überparteilich setzen wir uns für ein JA für den Bürger:innendienst für alle ein! 💕 🇨🇭 für Einheit in Vielfalt 💪 für eine krisenfeste Schweiz",2025-10-10 14:09:29+00:00,2,138,8,0.01,0,3.720733154160916
instagram.com,https://www.instagram.com/jglpschweiz/,3740342075842676375_5441670489,"JA zur @initiative_servicecitoyen2025 ! Ein Bürger:innendienst für alle, ja stimmen am 30. November!",2025-10-10 13:39:04+00:00,1,108,3,0.0,0,1.0278201496331807
instagram.com,https://www.instagram.com/jglpschweiz/,3740252428525398258_4198365823,"Hochbegabte wissen, welche Partei gut ist. 😌💚💙 Willst auch du Teil von etwas Gutem sein? 👉 Jetzt mitmachen: grunliberale.ch/mitmachen",2025-10-10 10:49:51+00:00,2,68,0,0.75,0,-0.9331008934408369
instagram.com,https://www.instagram.com/jglpschweiz/,3739754967016732212_1179076471,#europe #vegi,2025-10-09 18:12:36+00:00,8,88,0,0.0,0,-0.6193070385704946
instagram.com,https://www.instagram.com/jglpschweiz/,3739519280401363320_5441670489,Werde mit unseren Workshops fit für die Milizpolitik!,2025-10-09 10:24:18+00:00,1,16,0,0.37,0,-1.7489649161037264
instagram.com,https://www.instagram.com/jglpschweiz/,3735091591619814583_5441670489,"Am vergangenen Samstag haben wir unsere MV mit Herbstfest gefeiert – und das an einer ganz besonderen Location: im Kybunpark, dem St. Galler Fussballstadion. 💚⚽ Ein riesiges Dankeschön an unsere engagierte Gastgeberin, die JGLP St. Gallen, für die perfekte Organisation! 🙌✨ Ein Highlight war das Gespräch mit Noemie Roten, das uns mit voller Energie in den kommenden Abstimmungskampf zum #servicecitoyen starten lässt. 💪🩷 Auf der Bühne diskutierten wir ausserdem mit Noa Olibet und Alessia Wehrli zur Juso-Initiative #initiativefüreinezukunft. Nach spannenden Argumenten fassten wir klar die Nein-Parole. ❌ Zum Abschluss wartete ein gemütliches Herbstfest mit Pub Quiz und toller Stimmung, ein perfekter Ausklang für einen inspirierenden Tag. ✨🍂🍻",2025-10-03 07:47:17+00:00,8,91,2,1.0,0,0.3166509285489454
instagram.com,https://www.instagram.com/jglpschweiz/,3731466490835933353_18558857142,"Grund 3/5: erschwerter Bildungszugang schwächt den Innovationsstandort und die Schweizer Wirtschaft.🚀 ✊Am Mittwoch gegen wir auf die Strasse gegen die Verdopplung der Studiegebühreren und bis dahin geben wir euch täglich eines der wichtigsten Argumente gegen die Erhöhung.  Komm mit uns auf die Strasse am 1. Oktober um 17:00 auf dem Bundesplatz 🔥denn Bildung darf kein Luxus sein.🔥 Im Video: Emma, Vorstand für Nachhaltigkeit im Verband der Schweizer Studierendenschaften. #studiengebühren #bildungszugang #wirtschaft #innovationsstandort #rapportgaierschwerter",2025-09-28 07:49:58+00:00,2,73,0,0.06,0,-0.8546524297232514
instagram.com,https://www.instagram.com/jglpschweiz/,3730099165650021764_18558857142,Grund 1/5: längere Studiendauer. In 5 Tagen ist Demo gegen die Studiengebührenverdopplung. Wir nutzen die Zeit um dir nochmal die wichtigsten Argumente mit zu geben.  Im Video: VSS-Copräsidentin Julia Bogdan. #chancengleichheit #studiengebühren #demo #countdown #bern #politik,2025-09-26 10:34:27+00:00,2,112,7,0.39,0,2.8683566983850266
instagram.com,https://www.instagram.com/jglpschweiz/,3728868496021973935_6280359922,"🚨 Ein wichtiger Entscheid ist gefallen – und er betrifft uns alle. Gestern haben die Kantone den Weg für eine nationale Abstimmung geöffnet. 👉 Für mich ist klar: Die Individualbesteuerung ist längst überfällig. Sie schafft Gerechtigkeit, stärkt die Gleichstellung und macht Arbeit wieder lohnenswert, gerade für Frauen.   Doch die Arbeit beginnt erst jetzt. 💪 Im Abstimmungskampf werden wir uns klar für diese Reform einsetzen: Für mehr Fairness, mehr Gleichstellung und ein modernes Steuersystem. ✨🩵 #Individualbesteuerung",2025-09-24 18:10:34+00:00,2,112,1,1.0,1,0.20169003171836053
