source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,data.ig_play_count,sentiment_rulebased,voting.topic
instagram.com,https://www.instagram.com/p/DG9jyD1JfP9/,3584178250171413501_1491469054,"Nationalrätin Magdalena Martullo-Blocher (GR): «Mit dem EU-Unterwerfungsvertrag kommt die monströse EU-Bürokratie auf uns zu. Damit müssten wir EU-Regulierungen in wichtigen Bereichen übernehmen. Für kleine und mittlere Unternehmen wäre das ein Desaster, da dies Zusatzaufwand und weitere Abgaben bedeuten würden. Der schlechte Zustand der EU-Wirtschaft zeigt, dass unser Schweizer Weg erfolgreicher ist als die erdrückende EU-Bürokratie.»",2025-03-09 02:29:54+00:00,2,200,8,6118.0,-0.78,0
instagram.com,https://www.instagram.com/p/DHAhccdoYdJ/,3585012393629026121_1491469054,"Nationalrat Franz Grüter (LU): «Die unsichere Weltlage zeigt, dass die Schweiz unbedingt wieder zu ihrer bewaffneten immerwährenden Neutralität zurückkehren muss, damit sie ihre Vermittlerrolle als Friedensbotschafterin wieder wahrnehmen kann.»",2025-03-10 06:07:41+00:00,2,185,6,5115.0,-0.62,0
instagram.com,https://www.instagram.com/p/DHAwqoJK2Fm/,3585079338940981606_1491469054,Wir gratulieren der SVP Solothurn zum hervorragenden Wahlergebnis und wünschen Sibylle Jeker viel Erfolg im zweiten Wahlgang!,2025-03-10 08:19:51+00:00,1,908,11,,1.0,0
instagram.com,https://www.instagram.com/p/DHA9YeeJTND/,3585135266209542979_1491469054,Nationalrätin Vroni Thalmann (LU): «Die Enteignungsinitiative der JUSO ist ein Bumerang. Dadurch werden Unternehmer und Wohlhabende ins Ausland vertrieben und Arbeitsplätze werden zerstört. Die Steuerausfälle müssen die Büezer bezahlen. Deshalb NEIN zur JUSO-Enteignungsinitiative!»,2025-03-10 10:11:40+00:00,2,240,10,7974.0,-1.0,0
instagram.com,https://www.instagram.com/p/DHBfbK5KaI7/?img_index=1,3585284984927789627_1491469054,"(Link in Bio) Raubüberfälle, Vergewaltigungen, Messerstechereien und Einbrüche sind an der Tagesordnung. Insbesondere kriminelle Asyl-Migranten verüben teils schwerste Gewalttaten. Das herrschende Asyl-Chaos gefährdet die innere Sicherheit der Schweiz und kostet die Steuerzahler Milliarden. Statt die Grenzen zu kontrollieren, verweigert der verantwortliche SP-Bundesrat Jans griffige Massnahmen zum Schutz der eigenen Bevölkerung. Unterschreiben Sie deshalb jetzt die Volksinitiative «Asylmissbrauch stoppen! Grenzschutz-Initiative»!",2025-03-10 15:08:25+00:00,8,789,66,,-1.0,0
instagram.com,https://www.instagram.com/p/DHDNO7ysccE/,3585767929195644676_1491469054,"Nationalrätin Magdalena Martullo-Blocher (GR): «Im Gegensatz zu allen anderen Parteien will die SVP, dass Volk und Stände über den EU-Unterwerfungsvertrag abstimmen können. Der EU-Unterwerfungsvertrag führt zu fremden Richtern und zur automatischen Übernahme von EU -Recht. Unsere Verfassung sieht vor, dass es für derart massive Eingriffe die Zustimmung von Volk und Ständen braucht.»",2025-03-11 07:08:41+00:00,2,281,13,8046.0,-0.47,0
instagram.com,https://www.instagram.com/p/DHEHj7QKM3q/,3586024458422898154_1491469054,"(Link in der Bio) Die SVP-Fraktion steht zur Konkordanz. Das heisst, die vier wählerstärksten Parteien bilden die Regierung. Die drei wählerstärksten Parteien stellen je zwei Mitglieder, die viertgrösste Partei ein Mitglied im Bundesrat. Die SVP-Fraktion respektiert das offizielle Ticket der Mitte-Fraktion.",2025-03-11 15:37:37+00:00,1,705,10,,0.0,0
instagram.com,https://www.instagram.com/p/DHGp4kJpLjA/,3586738360261327040_1491469054,"Nationalrat Pascal Schmid (TG): «Erfolg für die SVP - wir konnten zwei Asyl-Vorstösse durch den Nationalrat bringen. Die Mehrheit stimmte uns zu und sagte NEIN zu kriminellen Asyl-Migranten und JA zur Sicherheit für unsere Bevölkerung! Leider lehnte die Mitte-links-Mehrheit unseren Vorstoss ab, Asylanten, die über ein sicheres Drittland einreisen, an der Grenze zurückzuweisen. Deshalb braucht es weiterhin die Grenzschutzinitiative!»",2025-03-12 15:16:41+00:00,2,358,15,15475.0,0.13,1
instagram.com,https://www.instagram.com/p/DHIrx7Cv_cM/,3587309649851840268_1491469054,Nationalrat Walter Gartmann (SG): «Die Mitte-links-Mehrheit will sich weiter der NATO und der EU anbiedern. Damit gefährden die anderen Parteien die Neutralität und die Glaubwürdigkeit der Schweiz als Vermittlerin für den Frieden.»,2025-03-13 10:11:42+00:00,2,262,8,7152.0,-0.49,0
instagram.com,https://www.instagram.com/p/DHJGR2dqPF1/,3587426193167151477_1491469054,"(Link in der Bio) Hätten Sie gedacht, dass unsere AHV-Gelder auf einer US-Bank deponiert sind? Es geht um 40 Milliarden Franken! Man muss sich das vorstellen: Im Fall von Sanktionen könnten die USA diese AHV-Milliarden blockieren.",2025-03-13 14:02:39+00:00,1,696,40,,-0.35,0
instagram.com,https://www.instagram.com/p/DHLXgrjKYfA/,3588064928984565696_1491469054,"(Link in der Bio) Das herrschende Asyl-Chaos gefährdet die innere Sicherheit der Schweiz und kostet die Steuerzahler Milliarden. Die SVP forderte in der ausserordentlichen Session Null-Toleranz im Umgang mit kriminellen Asylanten – mit Erfolg: National- und Ständerat haben die entsprechenden Motionen angenommen. Den dringend nötigen Kurswechsel in der Asylpolitik hingegen verhinderten einmal mehr SP, Grüne, Grünliberale und die Mitte.",2025-03-14 11:11:42+00:00,1,1141,53,,-0.63,0
instagram.com,https://www.instagram.com/p/DHLzdbyi43R/,3588187851206659537_1491469054,"Nationalrat Franz Grüter (LU): «Was der abtretende Armeechef fordert ist unglaublich. Es kann nicht sein, dass Schweizer Soldaten auf fremden Boden sterben müssen. Es ist nicht die Rolle der Schweiz, sich in fremde Konflikte einzumischen. Sie muss als neutrale Vermittlerin ihre guten Dienste anbieten können, damit der Krieg beendet wird.»",2025-03-14 15:16:40+00:00,2,236,17,7578.0,-1.0,0
instagram.com,https://www.instagram.com/p/DHOYSohImlV/,3588759269378921266_1491469054,"Unsere AHV-Gelder – über 40 Mia. Franken – sind in einer Bank in den USA deponiert. Für sichere Renten muss das Vermögen der AHV-Versicherten zurück in die Schweiz!  Aber Cédric Wermuth und seine «Fuck you, Mr. Trump»-SP haben das im Nationalrat verhindert!",2025-03-15 10:11:41+00:00,2,493,21,12012.0,0.0,0
instagram.com,https://www.instagram.com/p/DHTr-4zKBHl/?img_index=1,3589637789362627787_1491469054,"Nationalrätin Barbara Steinemann (ZH): «Es kommt immer wieder vor, dass abgewiesene Asylmigranten, die eigentlich die Schweiz verlassen müssten, so lange neue Asylanträge stellen bis sie einen positiven Bescheid erhalten. In den letzten zehn Jahren erhielten 58'000 Personen den Flüchtlingsstatus - 11% oder 6380 von ihnen nachdem sie mehrmals ein Gesuch gestellt hatten. So wird unser Asylsystem missbraucht, deshalb braucht es jetzt die Grenzschutzinitiative!»",2025-03-16 15:17:40+00:00,2,201,11,6274.0,0.01,1
