source_platform,source_platform_url,data.id,data.caption.text,data.media_type,data.like_count,data.comment_count
instagram.com,https://www.instagram.com/spschweiz/,3740241449506920912_6052176286,🕊️ Dies ist eine historische Chance für den Frieden in der Region. Für die Lösung der kurdischen Frage ist jedoch eine Demokratisierung der Türkei notwendig. Jetzt liegt der Ball bei Erdoğan.,8,542,35
instagram.com,https://www.instagram.com/spschweiz/,3739696900619167026_6052176286,"‼️REMINDER‼️

Vergiss nicht, dir dein Ticket für unsere verlängerte Meyer:Wermuth Podcasttour zu sichern! 

Bei den jeweiligen Abenden werden wir unseren Podcast live aufnehmen, wobei ihr die Gesprächsthemen mitentscheiden könnt! Im zweiten Teil fordern sich Mattea und Cédric dann gegenseitig heraus und testen ihre Fähigkeiten.

Den Link zu den Tickets findest du in der Bio.",2,216,82
instagram.com,https://www.instagram.com/spschweiz/,3737232217546949315_6052176286,"Am 30. November stimmen wir bereits über die «Initiative für eine Zukunft» ab.

In der gestrigen Sonntagszeitung hat unser Co-Präsidium erklärt, wieso wir hinter der Initiative stehen.",8,992,62
instagram.com,https://www.instagram.com/spschweiz/,3735065096218286680_6052176286,"Meyer :Wermuth ON TOUR geht in die 2. Runde!

Sei mit dabei, wenn Mattea und Cédric ihren Podcast live aufzeichnen und sich im zweiten Teil gegenseitig auf die Probe stellen. Und nimm gleich auch deine Friends, dein Grosi oder dein Gspusi mit!

Wir freuen uns auf die gemeinsamen Abende im @kammgarn_sh, @galvanikzug, @bernhard_theater und @dampfzentrale_bern <3

🎟️ Tickets sind erhältlich unter dem Link in unserer Bio.",2,323,104
instagram.com,https://www.instagram.com/spschweiz/,3732976764545991565_6052176286,"Wir werden uns mit aller Kraft dafür engagieren, dass die «Nachhaltigkeitsinitiative» der SVP keine Chance hat, damit sie kein Chaos bringen, die Arbeitsbedingungen nicht verschlechtern und unser Land nicht kaputt machen kann.",2,1877,165
instagram.com,https://www.instagram.com/spschweiz/,3732251513407248930_6052176286,"Der Systemwechsel bei der Immobilienbesteuerung ist Tatsache. 

Dieser Entscheid ist eine schlechte Nachricht für die Mehrheit der Bevölkerung - spezifisch für die Mieter:innen. Steuerausfälle von rund 2 Milliarden Franken werden nun durch Steuererhöhungen auf alle abgewälzt.

Für uns steht aber fest: Es braucht endlich eine spürbare Entlastung bei den Mieten und eine Stärkung der Kaufkraft.

Deswegen planen wir bereits eine neue Initiative für einkommensabhängige Krankenkassenprämien, von der 85 % der Bevölkerung und nicht nur eine kleine Gruppe profitieren würde.",2,2682,378
instagram.com,https://www.instagram.com/spschweiz/,3730801488818950286_6052176286,🚨 LAST CALL 🚨 Noch nicht abgestimmt? 👉 Wecker stellen und morgen an die Urne gehen ⏰🏃‍♀️‍➡️🗳️,8,781,47
instagram.com,https://www.instagram.com/spschweiz/,3730217356598205862_6052176286,🫳🎤,2,12410,215
instagram.com,https://www.instagram.com/spschweiz/,3729525008490826590_6052176286,"Das könnte dein STRAVA sein!

Mach heute eine kurze Jogging-/Spaziergangsroute zum Abstimmungsbriefkasten oder am Sonntag an die Urne und stimm wie Jacky NEIN zur Eigenmietwert-Abschaffung. 

So bekommst du nicht nur Kudos von deinen Friends, sondern sparst auch 500 Fr. im Jahr.

#stayfit #jackysagtnein (auch wenn die Gegenseite anderes behauptet)",2,2376,279
instagram.com,https://www.instagram.com/spschweiz/,3729231441704784357_6052176286,"2. Runde der SVP Hetze ⏳

Heute debattiert der Nationalrat erneut über die gefährliche Kündigungsinitiative. Deshalb geht auch unsere gemeinsame Gegenaktion in die 2. Runde. Je länger die SVP-Redezeit und das Schüren von Feindbildern desto stärker unsere NEIN-Kampagne zur Initiative!

 🔗 Jetzt spenden über den Link in der Bio.",8,535,6
instagram.com,https://www.instagram.com/spschweiz/,3728814953475000443_6052176286,Häsch au immer Luscht am Aabig am 11i no Mails z mache? 🙃,2,5025,367
instagram.com,https://www.instagram.com/spschweiz/,3728023836504395091_6052176286,"Und wie jedes Jahr steigen die Krankenkassenprämien wieder. Diesmal um ganze 4,4 Prozent! 

Die bürgerliche Mehrheit im Parlament sieht jedoch keinen Handlungsbedarf und weigert sich, kostenlindernde Massnahmen zu ergreifen. Die SP will dieser immer schwerer werdenden finanziellen Last für den Grossteil der Bevölkerung nicht tatenlos zuschauen. Deshalb werden wir in den nächsten Monaten eine neue, einkommensbasierte Prämieninitiative lancieren, von der 85 % der Bevölkerung profitieren werden!",2,1449,128
instagram.com,https://www.instagram.com/spschweiz/,3727338600737054133_6052176286,REMINDER: Bis morn chasch no brieflich abstimme 💌,8,1743,9
instagram.com,https://www.instagram.com/spschweiz/,3727315510162368128_6052176286,"Während die SVP Feindbilder schürt, bauen wir gemeinsam unsere Nein-Kampagne zur Kündigungsinitiative auf!

Jetzt spenden via den Link in der Bio ⏳",8,1623,67
instagram.com,https://www.instagram.com/spschweiz/,3726423749164909681_6052176286,"Genau, Frau Marti.

Und deswegen stimmen wir nächsten Sonntag am 28. September NEIN zum «Bundesbeschluss über die
kantonalen Liegenschaftssteuern
auf Zweitliegenschaften» (Eigenmietwert-Abschaffung. 

Bis Dienstag kannst du noch brieflich abstimmen! 📮",2,628,20
instagram.com,https://www.instagram.com/spschweiz/,3724469230504193289_6052176286,Fragen zum Eigenmietwert❓Wir antworten 😊,8,429,6
instagram.com,https://www.instagram.com/spschweiz/,3724171397196275985_6052176286,"Miezerinnen und Miezer, unite! 🐈",2,1457,15
instagram.com,https://www.instagram.com/spschweiz/,3723726694931534298_6052176286,"Brauchst du noch Argumente gegen die Abschaffung des Eigenmietwerts?

In diesem Video beantworten wir die vier Fragen, die uns am häufigsten gestellt wurden.",2,756,22
instagram.com,https://www.instagram.com/spschweiz/,3723018491172614930_6052176286,"✂️Lohnschere: 1 zu 333 🤯 Mann, da mueni aso no lang girlbosse...",2,554,51
