source_platform,source_platform_url,data.id,data.caption.text,data.media_type,data.like_count,data.comment_count
instagram.com,https://www.instagram.com/fdp_schweiz/,3722232437808885320_2018933737,"🚨 Blinde Fahndung? - Nicht mit uns! 🎨 Schweizer Polizistinnen und Polizisten dürfen nicht mehr erfassen, welche Hautfarbe ein Verbrecher hat. Wir setzen uns ein für eine Polizei, die ohne Scheuklappen arbeiten kann - für die Sicherheit unserer Bevölkerung! 💪 🖊️ Unterzeichne jetzt unsere Petition (Link in Bio)",1,853,48
instagram.com,https://www.instagram.com/fdp_schweiz/,3687962104808465332_2018933737,"🫵 Genug von Politik, die erst erklärt wird, wenn’s schon zu spät ist? Wir auch. 👋 Willkommen zu unserem neuen Format – früher dran, klarer im Ton und mit etwas mehr 🔥. ❌ Keine PDFs. Keine Parteisprache. Kein Filter. 🎬 Hier gibt’s: 📌 Erklärvideos, die du wirklich verstehst 📌 Themen, die bald zur Abstimmung kommen 📌 Meinungen, die sich was trauen Starten wir mit der JUSO-Initiative – und warum 50 % Erbschaftssteuer nur der Anfang wäre. 🎯 Bleib dran – hier läuft Politik anders. #politikohnefilter #jusoinitiative #klartext #fdp #erbschaftssteuer #abstimmung2025 #wirtschaftverstehen",2,501,24
instagram.com,https://www.instagram.com/fdp_schweiz/,3739630390785956783_2018933737,"Wenn ein grosses Vermögen vererbt wird, steckt es meist nicht auf dem Konto, sondern im Unternehmen. Bei multinationalen Konzernen wäre das anders geregelt – aber für Schweizer Familienbetriebe und KMU wäre genau das Realität: 👉 Sie müssten Firmenanteile verkaufen, nur um die Steuer zu zahlen. Übrigens: Wir haben in unserer Serie bewusst zwei Buchstaben übersprungen – damit wir schneller zu den Themen kommen, die jetzt wirklich zählen 😉 #JUSOInitiative #Erbschaftssteuer #KMU #FDP #Wirtschaftsstandort",2,117,12
instagram.com,https://www.instagram.com/fdp_schweiz/,3738766810393616183_2018933737,"❌ Die Juso-Enteignungsinitiative schafft nur Verlierer. Gestern fand in Bern die Medienkonferenz der Allianz «NEIN zur extremen Juso-Initiative» statt. Thierry Burkart hat die Gefahren der Initiative aufgezeigt: «Diese Initiative ist extrem und würde dazu führen, dass viele Unternehmerinnen und Unternehmer, die ihr Unternehmen an die nachfolgende Generation weitergeben möchten, dies nicht mehr tun können. Das Geld haben sie nicht unter dem Kopfkissen, sondern in der Firma. Diese müssten sie entweder liquidieren, an einen ausländischen Konzern verkaufen oder ins Ausland ziehen. Damit würde die Schweiz wichtige Steuereinnahmen verlieren».",1,155,0
instagram.com,https://www.instagram.com/fdp_schweiz/,3735397937762361286_2018933737,"Anpacken statt ankleben! Unser Nationalrat @dobler_marcel, @fdpdieliberalensg, hat bereits 2024 eine Motion eingereicht, um diese gefährlichen Verkehrsstörungen unter Strafe zu stellen. Es gibt gute Gründe und viele taugliche Mittel, um sich für Klimaschutz einzusetzen. Die gefährlichen Blockaden von Hauptverkehrsstrassen gehören nicht dazu! Die Klimakleber : 1. blockieren Rettungsfahrzeuge 🚑🚒🚓 2. gefährden Autofahrer, Polizisten und sich selbst 3. belasten das Gewerbe massiv. Absurd: Sogar KMU, die eine energetische Sanierung durchführen wollen, sind im Stau blockiert. Via @blick",8,207,15
instagram.com,https://www.instagram.com/fdp_schweiz/,3730766398701284061_2018933737,🔄 Eine Generation baut auf. Die nächste soll verkaufen? Die Erbschaftssteuer-Initiative ist kein Zukunftsprojekt – sondern ein Rückschritt. Wir geben keine Schulden weiter. Sondern Verantwortung. 💬 Schreib in die Kommentare: Was würdest du weitergeben wollen? #Erbschaftssteuer #Generationen #JusoInitiative #FDP #Verantwortung #LiberalDenken #Familienbetriebe #ZukunftGestalten #PolitikErklärt,2,225,21
instagram.com,https://www.instagram.com/fdp_schweiz/,3728030592597019160_2018933737,"Die Krankenkassenprämien steigen und steigen. Was tun? Die Politik muss aufhören, den Bürgerinnen und Bürgern nach dem Mund zu reden. Die FDP verlangt eine ehrliche Analyse bei den Kosten – und echte Reformen, die die Menschen entlasten. 📰 Lies jetzt unsere Medienmitteilung im Link in unserer Bio!",8,114,5
instagram.com,https://www.instagram.com/fdp_schweiz/,3727346754656992294_2018933737,"❌ Die SVP will den bewährten bilateralen Weg kappen. Das führt zu Chaos, zerstört Arbeitsplätze und schwächt die Sicherheit in unserem Land. Weniger Arbeitskräfte – dafür mehr Asylmigration? Nein danke. Die FDP sagt nein zu Chaos und deshalb nein zur Kündigungsinitiative! 👉 Sag jetzt auch du NEIN zur gefährlichen Kündigungsinitiative (Link in Bio)",8,95,2
instagram.com,https://www.instagram.com/fdp_schweiz/,3726568272885043298_2018933737,"👀 Wenn Politik keine Lösungen hat, sucht sie Schuldige. Die JUSO-Initiative macht *Erfolgreiche zum Feindbild* – und nennt das „sozial gerecht“. Doch wenn Reiche auswandern, nehmen sie Jobs, Innovation und Steuereinnahmen mit. ➡️ Am Ende bleibt: Frust, Ideologie – und ein kaputter Mittelstand. Die FDP sagt: Politik sollte *verbinden statt spalten*. Denn wer Wohlstand bekämpft, macht Armut salonfähig. ❓ Was meinst du: Hat Neid in der Steuerpolitik etwas verloren? #JUSOInitiative #Steuern #FDP #Neidpolitik #Mittelstand",2,218,15
instagram.com,https://www.instagram.com/fdp_schweiz/,3725616125838138221_2018933737,"Schwarz, weiss, grün oder blau? ⬛⬜🟩🟦 Das Fedpol - die Lieblingssicherheitspolitische Institution von ""Bern einfach""...  Seit Kurzem dürfen Schweizer Polizistinnen und Polizisten nämlich nicht mehr erfassen, welche Hautfarbe eine gesuchte Person hat. 🤦‍♀️🤦‍♂️ Die FDP wehrt sich gegen diese Scheuklappen, die das Fedpol der Polizei auferlegt hat! Wehre auch du dich dagegen und unterzeichne jetzt unsere Petition über den Link in unserer Bio und teile diesen Post mit deinen Freunden! 💪 #berneinfach #fdpschweiz #FDPDieLiberalen",2,254,2
instagram.com,https://www.instagram.com/fdp_schweiz/,3725135539960585784_2018933737,"Der Bund gibt mehr Geld aus, als er einnimmt: unserem Land drohen Milliardendefizite. 💸 Der Bundesrat handelt richtig und präsentiert Entlastungsmassnahmen. Falsch ist jedoch, dass er gleichzeitig die privaten Vorsorgevermögen höher besteuern will. Dagegen wird sich die FDP wehren - für alle, die tagtäglich den Wecker stellen und arbeiten gehen! ⏰ 📰 Lies jetzt die gesamte Medienmitteilung über den Link in unserer Bio @thierryburkart @andrisilberschmidt",8,82,1
instagram.com,https://www.instagram.com/fdp_schweiz/,3723656649064849044_2018933737,Die heute veröffentlichte Tamedia-Umfrage zeigt: Die Mehrheit der Schweizer Bevölkerung sagt JA zur e-ID 🪪 Die e-ID ermöglicht eine sichere und freiwillige Modernisierung langwieriger Verwaltungsvorgänge 💪 Wir sagen: ✅ JA zur digitalen Sicherheit ✅ JA zu einer vereinfachten Identifikation ✅ JA zur e-ID,1,124,10
instagram.com,https://www.instagram.com/fdp_schweiz/,3722736389919184332_2018933737,"Die SP vor der Abstimmung: ""Der AHV geht es gut.“ 👼  Die SP nach der Abstimmung: „Wir müssen die Steuern erhöhen!“ 😈🤘 @spschweiz",2,248,6
instagram.com,https://www.instagram.com/fdp_schweiz/,3720670369696022858_2018933737,"Du baust dein Leben lang auf – und dann verlangt der Staat: „Gib die Hälfte her.“ Die JUSO nennt das Gerechtigkeit. Wir nennen es: Strafe für Eigenverantwortung. 🔨 Unternehmen verkaufen, nur weil geerbt wurde? Das trifft nicht die Superreichen – sondern den liberalen Mittelstand. 💬 Schreib in die Kommentare: Was bedeutet für dich Eigenverantwortung? #Erbschaftssteuer #FDP #Eigenverantwortung #JusoInitiative #KMU #Nachfolge #Vermögen #LiberalDenken #SteuernMitMass",2,295,59
instagram.com,https://www.instagram.com/fdp_schweiz/,3719949706521490170_2018933737,"🫨 Es tönt wie ein schlechter Witz: Schweizer Polizistinnen und Polizisten dürfen seit Neustem nicht mehr erfassen, welche Hautfarbe ein Verbrecher hat.  🥋💪 Dagegen wehren wir uns mit einer Petition und Vorstössen im Parlament. Schluss mit den ständigen ideologischen Angriffen auf unsere Sicherheitskräfte. 🖊️ Unterzeichne jetzt die Petition und wehre dich gegen den Woke-Wahnsinn zulasten unserer Sicherheit! (Link in Bio)",8,734,54
instagram.com,https://www.instagram.com/fdp_schweiz/,3719818012431194204_2018933737,📬🥳 Die neue Ausgabe des Schweizer Freisinns flattert heute in die Briefkästen unserer Abonnentinnen und Abonnenten und ist online als Flipbook verfügbar (Link in Bio). 👉 NEU finden Sie auch ausgewählte Artikel in unserem Online Magazin (Link in Bio) #fdpwecker #steuern #freisinn,8,72,0
instagram.com,https://www.instagram.com/fdp_schweiz/,3719153754072513674_2018933737,"Was ist eigentlich eine Session? Wer sitzt da drin? Und was passiert da genau? Viermal pro Jahr trifft sich das Parlament zur Session – und dort werden die Weichen gestellt für alles: 💼 Gesetze 📊 Budget 🌱 Klima 🧑‍⚖️ Wahlen 📃 Vorstösse Und: Die Sitzungen sind öffentlich. Du kannst zuschauen – oder besser: verstehen, mitreden, mitgestalten. 💬 Was würdest du im Bundeshaus ansprechen, wenn du 2 Minuten Redezeit hättest? 👇 Schreib’s in die Kommentare & folge für mehr Insights direkt aus dem Bundeshaus. #SessionErklärt #Bundeshaus #PolitikVerstehen #FDP #DemokratieLive #LiberalDenken #PolitikErklärt #CHpolitics #ParlamentSchweiz",2,301,6
instagram.com,https://www.instagram.com/fdp_schweiz/,3718518751428651321_2018933737,"👶 Internationale Adoptionen sollen möglich bleiben!  Der Nationalrat folgt der FDP und stellt sich gegen ein generelles Verbot - ein deutliches Signal an Bundesrat Beat Jans, der die unverhältnismässige Massnahme vorgeschlagen hatte. Die Schweiz soll weiter ein Land bleiben, das Kindern in Not eine Perspektive bieten kann. 📰 Mehr dazu findest du in unserer Medienmitteilung über den Link in unserer Bio.",8,82,4
instagram.com,https://www.instagram.com/fdp_schweiz/,3717912621342010054_2018933737,💰📈 Angesichts der US-Strafzölle hat der Schutz von Arbeitsplätzen und Schweizer Löhnen höchste Priorität.  Das hat die FDP-Liberale Fraktion an ihrer heutigen Sitzung unmissverständlich festgehalten und die Weichen für die laufende Herbstsession gestellt. Insbesondere der arbeitende Mittelstand und die KMU müssen entlastet werden. 🔎 Die ganze Medienmitteilung und unsere Vorstösse kannst du über den Link in unserer Bio lesen. #fdpwecker,8,101,2
instagram.com,https://www.instagram.com/fdp_schweiz/,3717191672728670875_2018933737,"Heute wurde @severinbrungger als Ständerat für den Kanton Schaffhausen vereidigt. 🥳 Wir wünschen dir viel Freude und Erfolg in deiner neuen Funktion, lieber Severin 💙",1,297,4
