source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic,engagement_score
instagram.com,https://www.instagram.com/glp_grunliberale/,3622043989276897539_8889484925,"Warum sich die Familienzeit lohnt – für uns alle! ✅ Mehr Zeit für die Familie – Eltern können ihre Kinder in den ersten Lebensmonaten länger begleiten. ✅ Chancengleichheit – Gleich lange Elternzeit für Mütter und Väter stärkt die Gleichstellung. ✅ Stärkere Wirtschaft – Mehr Eltern (v.a. Mütter) kehren früher und mit höherem Pensum in den Beruf zurück. ✅ Gleiche Bedingungen für alle – KMU und Regionen ausserhalb der Wirtschaftszentren werden entlastet. ✅ Gesunde Familien – Weniger Burnout, weniger Depressionen, mehr Bindung und Stabilität für Kinder. Jetzt bist du gefragt! ✍️ Unterschreibe die Initiative! 💚 Spende, damit wir Familienzeit ins Ziel bringen! 👉 www.grunliberale.ch/familienzeit-initiative/ 📷 @patrickhaessig  @familienzeit_initiative  Wie war es bei euch? Wie habt ihr das als Eltern erlebt? Hättet ihr euch mehr Zeit gewünscht? Schreibt uns in den Kommentaren! 💬👇 #Familienzeit #FamilienzeitInitiative #ZeitfürFamilienzeit #congefamilial #dutempspourlafamille #initiativecongefamilial",2025-04-30 08:24:06+00:00,2,122,10,-0.29,0,1.2697751950242462
instagram.com,https://www.instagram.com/glp_grunliberale/,3740956155343385333_28704518764,Mit grosser Bestürzung nehmen die #Grünliberalen Kanton Schwyz Kenntnis vom plötzlichen Tod ihres Mitgliedes Alt-Nationalrat Josias F. Gasser. Mit «Jos» verliert die GLP Kanton Schwyz eines ihrer profiliertesten Mitglieder. Als erfolgreicher Unternehmer und rühriger Politiker hat er sich voll und ganz der #Nachhaltigkeit und insbesondere der nachhaltigen #Energiegewinnung verschrieben. Sein Tod hinterlässt auch menschlich eine grosse Lücke. Er wird uns nachhaltig in Erinnerung bleiben! Es braucht mehr mutige Politiker:innen wie Jos! #GLP  #Grunliberale  #MutzurLösung,2025-10-11 09:59:07+00:00,1,197,4,0.38,0,0.8967715580855997
instagram.com,https://www.instagram.com/glp_grunliberale/,3737373490480189214_19984477957,"🇨🇭 Bilaterale III bringen Steuerung statt Chaos 🇪🇺 In Zeiten willkürlicher Zölle und unberechenbarer Machtspiele brauchen wir Stabilität statt Experimente mit der Brechstange. Die neuen, auf Schweizer Bedürfnisse zugeschnittenen Bilateralen III sorgen genau dafür: 👉 Mit der Schutzklausel haben wir eine echte Notbremse, um die Zuwanderung bei Bedarf zu steuern – ohne unsere Beziehungen zu Europa zu gefährden. 🔍 Statt die Verträge kategorisch schlechtzureden, lohnt sich der Blick ins Detail: Die Bilateralen III bedeuten pragmatische, gewerbefreundliche Politik, die unsere 🇨🇭 Schweizer Wirtschaft stärkt und unseren erarbeiteten Wohlstand sichert. 💡 Begleitend braucht es liberale KMU-Rezepte für unser Gewerbe:  👩‍💼 Erfahrung halten: Pensionskassenbeiträge für alle gleich (PK-Flatrate) – so bleiben ältere Mitarbeitende im Betrieb. 👴 Arbeiten im Alter lohnt sich: Einkommen bis 100’000 Fr. im Pensionsalter nur zur Hälfte besteuern – mit besseren Renten. 👩‍👧 Frauenpotenzial entfalten: Individualbesteuerung + bezahlbare Kitas = mehr Motivation fürs zweite Einkommen. 📄 Weniger Bürokratie: Weniger Papierkrieg, mehr Zeit fürs Geschäft. 🚀 Mit all diesen Massnahmen gewinnen wir zusätzliche Fachkräfte, senken die Nettozuwanderung um 250’000 Personen und sichern unseren Wohlstand langfristig. #BilateraleIII #GLP #Wohlstand #KMU #Europapolitik #LiberaleLösungen #Schweiz #Fachkräfte #Europa #Stabilität",2025-10-06 13:53:59+00:00,1,25,0,-0.96,0,-1.7319734345351043
instagram.com,https://www.instagram.com/glp_grunliberale/,3736632157876833793_503922255,Der diesjährige #Netzwerkanlass der @queer_glp in der #Romandie führte uns nach #Lausanne. Wir besuchten @voqueer_ - (Association vaudoise pour la diversité sexuelle et de genre) den #Verein für sexuelle und geschlechtsspezifische #Vielfalt! Vielen Dank @didier_clm (Präsident von #voqueer) für die Einladung und die spannende Präsentation! 🏳️‍🌈🏳️‍⚧️ #glp #queer #queerglp,2025-10-05 10:48:07+00:00,1,67,0,0.72,0,-1.2816888045540797
instagram.com,https://www.instagram.com/glp_grunliberale/,3735314821395871102_73488636070,"Jürg Grossen (GLP) stellt klar: Die SVP greift mit der Kündigungsinitiative zwar eine berechtigte Frage auf, liefert aber die völlig falsche Antwort. 🚫 Zuwanderung bringt Herausforderungen, doch die Initiative löst diese nicht. Stattdessen würde sie unsere Wirtschaft und Gesellschaft ins Chaos und in die Abschottung stürzen. Darum: NEIN zur Kündigungsinitiative!",2025-10-03 15:11:07+00:00,2,54,2,-1.0,0,-1.0287015074847143
instagram.com,https://www.instagram.com/glp_grunliberale/,3733166146766973174_8889484925,"Herbstsession vorbei – unsere Bilanz: Kleine Fraktion, grosse Wirkung! 🍂💪 Letzten Freitag endete die Herbstsession. Drei intensive Wochen mit vielen Debatten, klaren Positionen und wichtigen Entscheidungen liegen hinter uns – und wir haben gezeigt, dass auch eine kleine Fraktion Grosses bewirken kann! Lust, noch einmal zurückzublicken? Begleite uns auf eine kurze Revue und wirf einen Blick hinter die Kulissen.",2025-09-30 16:02:31+00:00,2,48,1,-0.15,1,-1.289208438751845
instagram.com,https://www.instagram.com/glp_grunliberale/,3730846100392300903_3021657999,"Steigende Krankenkassenprämien: Wir brauchen eine nationale/interkantonale Spitalplanung! Nicht nur um Kosten zu dämpfen, sondern auch um die Qualität zu steigern! In der Arena erwähnte ich diverse Beispiele, weshalb es dringend nötig ist, dass die Kantone endlich besser zusammenarbeiten.",2025-09-27 11:15:49+00:00,2,196,8,0.44,0,1.6707727176892258
instagram.com,https://www.instagram.com/glp_grunliberale/,3728825222934628822_8889484925,"Die heutigen Hinterlassenenrenten sind aus der Zeit gefallen. Nationalrat Patrick Hässig hat sich für eine Reform, welche die Gleichbehandlung von allen Familienmodellen und Absicherung der Familien mit Kindern ins Zentrum stellt, stark gemacht. Nach der heutigen Debatte und Entscheiden hat die aktuell gewählte Vorlage jedoch noch Verbesserungsbedarf. Auch möchten wir, dass die Plafonderhöhung abgetrennt und generationengerecht ausgestaltet wird. Nun ist der Ständerat am Zug.",2025-09-24 16:18:50+00:00,2,30,1,0.73,1,-1.4821875658865697
instagram.com,https://www.instagram.com/glp_grunliberale/,3727912305649372985_8889484925,"In einer Zeit, in der sich Fakenews immer weiter verbreiten, ist verlässlicher Journalismus wichtiger denn je. Ob Zeitungen, Online-Medien, Radio oder Fernsehen – alle sind auf gut ausgebildetes Personal angewiesen. Qualitätsjournalismus erfordert Engagement und eine fundierte Ausbildung. Wir von der GLP unterstützen eine entsprechende Gesetzesanpassung – gegen Fakenews und für einen starken Journalismus in der Schweiz!",2025-09-23 10:04:02+00:00,2,41,4,1.0,0,-0.7757142104153489
instagram.com,https://www.instagram.com/glp_grunliberale/,3727379853982204674_8889484925,"Wir lehnen die #Kündigungsinitiative „Keine 10-Millionen-Schweiz!“ ab, weil sie keine Lösung bringt, denn:   🤝 Sie setzt die bilateralen Verträge mit Europa aufs Spiel – das schadet Wohlstand und Sicherheit enorm. 👩‍⚕️ Unsere Wirtschaft braucht Fachkräfte. Die Initiative entzieht uns den Arbeitskräftepool aus unseren Nachbarländern. 🏥 Wer pflegt uns im Spital oder bedient im Restaurant, wenn die Zuwanderung gestoppt wird?   Stattdessen müssen wir unser inländisches Potenzial stärker nutzen und so die Zuwanderung bremsen.",2025-09-22 16:27:20+00:00,2,73,18,0.34,0,2.313887571157495
