source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased
instagram.com,https://www.instagram.com/juso_schweiz/,3740443284633084395_2944886569,"Alle auf die Strasse gegen Genozid und Besatzung! Die Besatzung von Palästina und der Genozid an den Palästinenser*innen durch Israel haben unzählige Leben ausgelöscht, Menschen vertrieben und ausgehungert, Familien auseinandergerissen und Dörfer zerstört. Seit über zwei Jahren schaut die Welt und auch die Schweiz zu. Eine Waffenruhe kann nicht die letzte Forderung sein. Die Befreiung Palästinas kann nicht ohne ein Ende der Besatzung passieren.  Deshalb: Widerstand jetzt! Alle auf die Strasse!",2025-10-10 17:00:27+00:00,8,585,47,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3740357852867900265_46564761026,Ab in die heisse Abstimmungsphase! Let‘s go! 🔥🔥 #initiativefüreinezukunft #taxtherich,2025-10-10 14:12:18+00:00,2,138,3,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3739660804430521113_46564761026,"Das war die Pressekonferenz zur Initiative für eine Zukunft. Die heisse Phase ist eingeläutet, lets go! 🔥 #initiativefüreinezukunft #demokratie #klimagerechtigkeit #taxtherich",2025-10-09 15:05:31+00:00,8,327,8,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3738909593184003714_46564761026,Jetzt im Shop bestellen - Link in Bio,2025-10-08 14:13:00+00:00,8,252,4,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3738278183230256934_46564761026,"Am Donnerstag, 9. Oktober ab 10 Uhr findet in Bern unsere nationalen Medienkonferenz zur Initiative für eine Zukunft statt.  An dieser Konferenz werden wir die Wichtigkeit und Dringlichkeit unserer Initiative im Kampf gegen die Klima- und Demokratiekrise hervorheben.  Im Zentrum steht der klima- und sozialgerechte Umbau der Wirtschaft. Wir werden diese Medienkonferenz über Instagram-Livestream direkt übertragen.  Sei also live dabei, wenn es heisst: Sie erben Milliarden, wir die Krisen. Superreiche stoppen für die klimagerechte Zukunft! Der Abstimmungskampf ist eingeläutet! #pressekonferenz #initiativefüreinezukunft #juso",2025-10-07 17:18:30+00:00,8,195,1,-0.89
instagram.com,https://www.instagram.com/juso_schweiz/,3738204645270255019_2944886569,"Heute gedenken wir allen Toten, Verletzten, Gefangenen und Vertriebenen seit dem 7. Oktober 2023. An diesem Tag und in den zwei Jahren seither wurde unsäglich grosses Leid verübt. Unterdrückungsstrukturen, die bereits seit Jahrzehnten bestehen, sind eskaliert. Diese Gewalt und die Unterdrückung müssen ein Ende haben. Das rechtsextreme israelische Regime hat unzählige Kriegsverbrechen begangen. Palästinenser*innen in Gaza werden ausgehungert, vertrieben und ermordet. Auch die Kriegsverbrechen der Hamas am 7. Oktober sind nicht zu rechtfertigen und gehören vor dem Internationalen Strafgerichtshof verurteilt. Jede*r Tote ist eine*r zu viel.  Wenn ein Staat mit überlegener politischer und militärischer Macht eine rechtlose Bevölkerung derart angreift, wenn dieser Staat koloniale Methoden anwendet und Strukturen der Apartheid aufrecht erhält, dann ist diese unermessliche Gewalt keine Verteidigung, sondern ein Genozid.  Dieser Genozid muss enden, alle Kriegsverbrecher*innen vor Gericht zur Rechenschaft gezogen werden. Wir stehen in voller Solidarität mit allen Menschen, die gegen Unterdrückung und Genozid kämpfen. Freiheit und Frieden für alle!",2025-10-07 14:52:22+00:00,1,398,3,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3736666849409876449_3118711010,"Während die Menschen Klimakrise, Demokratieabbau und Superreiche als grösste Bedrohungen sehen, steckt der Bund Milliarden in Waffen. Sicherheit kommt nicht aus der Aufrüstung – sondern durch Frieden, sozial gerechtem Klimaschutz und gerechter Verteilung des Reichtums. ✊ Aufrüstungswelle beenden. Mega-Erbschaften besteuern. Superreiche stoppen! Am 30. November sagen wir JA zur Initiative für eine Zukunft!",2025-10-05 11:57:03+00:00,8,301,24,-0.05
instagram.com,https://www.instagram.com/juso_schweiz/,3735818138168605259_2944886569,"Für die Schweizer Bevölkerung ist es klar: Superreiche sind eine Gefahr für Demokratie und Gesellschaft! Die Klimakrise und der drohende Demokratieabbau müssen jetzt bekämpft werden. Superreiche zerstören mit ihren Investitionen das Klima und kaufen sich mit den Milliarden daraus politische Macht und Einfluss. Wenn wir unsere Zukunft sichern wollen, müssen wir die Superreichen stopppen. Und genau das will die Initiative für eine Zukunft. Mega-Erbschaften sollen gerecht beseuert werden, um einerseits die Vermögensungleichheit zu bekämpfen und andererseits mit den Einnahmen sozial gerechten Klimaschutz zu finanzieren  JA zur Initiative für eine Zukunft am 30. November!",2025-10-04 07:54:32+00:00,2,300,18,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3735335043737591180_2944886569,"MEHRHEIT DER SCHWEIZER*INNEN WILL SUPERREICHE STOPPEN 74% der Bevölkerung sehen Milliardäre als Gefahr für unsere Gesellschaft. 60% haben Angst vor der Klimakrise und dass demokratische Prozesse ausgehöhlt werden. Das zeigt eine neue Umfrage von SRF und gfs.Bern mit rund 55'000 Teilnehmenden. Superreiche zerstören mit ihren Investitionen das Klima und kaufen sich mit den Milliarden daraus politische Macht und Einfluss. Wenn wir unsere Zukunft sichern wollen, müssen wir die Superreichen stopppen. 67% der Befragten wollen grosse Vermögen stärker besteuern. Genau dort setzt die Initiative für eine Zukunft an und liefert damit die richtige Antwort auf die grössten Krisen dieser Zeit. Darum: Am 30. November JA zur Initiative für eine Zukunft!",2025-10-03 15:50:59+00:00,8,368,1,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3735118522465680551_2944886569,"68% der Schweizer Bevölkerung wollen eine Einheitskasse!  Die Bevölkerung will nicht mehr, dass mit der Gesundheit der Menschen Profite gemacht werden. Es braucht jetzt einen Systemwechsel.",2025-10-03 08:40:48+00:00,8,390,3,0.01
