Index,Partei,Link-Instagram,Link-Tiktok,Follower-Instagram,Follower-Tiktok
1,SVP, https://www.instagram.com/svpch/, https://www.tiktok.com/@svpch,39300,58000
2,SP, https://www.instagram.com/spschweiz/, https://www.tiktok.com/@spschweiz,63800,23600
3,FDP, https://www.instagram.com/fdp_schweiz/, https://www.tiktok.com/@fdp_schweiz,11000,1394
4,Die Mitte, https://www.instagram.com/mitte_centre/, NA,5926,NA
5,Grüne, https://www.instagram.com/gruenech/, https://www.tiktok.com/@gruenech,17600,1745
6,GLP, https://www.instagram.com/glp_grunliberale/, NA,5645,NA
7,EVP, https://www.instagram.com/evppev/, https://www.tiktok.com/@evp_pev,1293,205
8,JSVP, https://www.instagram.com/jsvp_judc/, https://www.tiktok.com/@jsvpch,5741,5341
9,JUSO, https://www.instagram.com/juso_schweiz/, https://www.tiktok.com/@juso_schweiz,16600,2052
10,JF, https://www.instagram.com/jungfreisinnige.ch/, https://www.tiktok.com/@jungfreisinnigech,3613,446
11,Die Junge Mitte, https://www.instagram.com/diejungemitte_ch/, https://www.tiktok.com/@diejungemitte_ch,2412,254
12,Junge Grüne, https://www.instagram.com/jungegruene_ch/, https://www.tiktok.com/@jungegruene_ch,9058,1182
13,Junge GLP, https://www.instagram.com/jglpschweiz/, https://www.tiktok.com/@jglp_ch,2727,495
14,Junge EVP, https://www.instagram.com/jevp_ch/, NA,344,NA
