Index, Partei, Link-Instagram, Link-Tiktok
1, SVP, https://www.instagram.com/svpch/, https://www.tiktok.com/@svpch
2, SP, https://www.instagram.com/spschweiz/, https://www.tiktok.com/@spschweiz
3, FDP, https://www.instagram.com/fdp_schweiz/, https://www.tiktok.com/@fdp_schweiz
4, Die Mitte, https://www.instagram.com/mitte_centre/, NA
5, Grüne, https://www.instagram.com/gruenech/, https://www.tiktok.com/@gruenech
6, GLP, https://www.instagram.com/glp_grunliberale/, NA
7, EVP, https://www.instagram.com/evppev/, https://www.tiktok.com/@evp_pev
8, JSVP, https://www.instagram.com/jsvp_judc/, https://www.tiktok.com/@jsvpch
9, JUSO, https://www.instagram.com/juso_schweiz/, https://www.tiktok.com/@juso_schweiz
10, JF, https://www.instagram.com/jungfreisinnige.ch/, https://www.tiktok.com/@jungfreisinnigech
11, Die Junge Mitte, https://www.instagram.com/diejungemitte_ch/, https://www.tiktok.com/@diejungemitte_ch
12, Junge Grüne, https://www.instagram.com/jungegruene_ch/, https://www.tiktok.com/@jungegruene_ch
13, Junge GLP, https://www.instagram.com/jglpschweiz/, https://www.tiktok.com/@jglp_ch
14, Junge EVP, https://www.instagram.com/jevp_ch/, NA
